config-name,ah,aw,ifs,fs,ofs,dfw,total_cycles,avg_map_eff
system_a4b73e83-d184-4024-a737-bc412b1cba37,6,10,5,5,5,os,30587,33.977869986168926
system_9ef035c4-d1ac-43da-b8a8-e474c37c7fc4,8,7,5,5,5,os,31734,33.03281870624542
system_b2508eff-e31e-48aa-b47b-914488335bc3,4,10,5,5,5,ws,38353,83.42857142857142
system_5656d0ee-7514-49fe-a030-082847bbdf6e,8,3,5,5,5,is,106606,56.851659751037346
system_f02ad144-c566-4ff1-aff2-862593e371b4,4,6,5,5,5,ws,50103,86.19047619047618
system_c0591e86-4a3f-4262-aede-fc74ca49ba23,5,4,5,5,5,os,52885,51.257954041345045
system_0da97f68-1e58-499c-b9fd-2cdf1133e1d2,10,6,5,5,5,ws,24427,80.70476190476191
system_bdf4ac6f-7125-4f78-8c08-5017cdfecf87,10,8,5,5,5,ws,19033,76.1
system_7d7b7760-ab58-499b-9a9d-9793a57425d3,5,5,5,5,5,ws,52352,88.57536945812808
system_716920ce-b756-44ad-a8f3-ca4a7717734a,4,9,5,5,5,os,41909,39.144620811287666
system_fa1d8b6d-6b7b-4596-9f6b-9373574355cd,9,10,5,5,5,is,36347,45.21145334018895
system_0cd9736e-cc89-4f69-9f9b-a1862490cb10,7,6,5,5,5,is,60369,48.247701846990566
system_cd6b23a5-18d0-43d8-9d97-cd80ecbfa3a9,7,7,5,5,5,is,54361,46.567676151999095
system_759073b3-dcca-4bea-b6fb-c3a2219311a4,9,8,5,5,5,ws,19446,79.43562610229276
system_b0d955fa-bcdb-4f43-830d-5f5280108b89,7,4,5,5,5,os,40871,47.72227361496557
system_6109a106-d1ac-4b4b-9583-88bf848400c9,8,7,5,5,5,ws,30132,76.66666666666666
system_14f64dbe-0271-4acf-83a1-c5a153581c90,9,7,5,5,5,ws,24462,76.01578903166204
system_b075600c-edae-45c9-ad91-b3510ee5657f,4,10,5,5,5,is,60503,44.842274966412944
system_fe778691-0cbd-4811-83b8-ce5f5c7da39f,4,4,5,5,5,ws,62081,95.95238095238096
system_99e1fe26-0cf4-45da-8d2b-9f22471b23d3,9,4,5,5,5,os,34672,46.22728318380493
system_e6a9fe1e-ee42-4644-badf-1cbb831eb113,9,3,5,5,5,ws,47785,84.29551244366061
system_c71c10e1-ff5a-4cbb-9e9c-544dce4f431c,10,9,5,5,5,os,20141,31.42266894450797
system_62b2eda3-cc5a-474a-b40a-385626446079,10,7,5,5,5,is,49509,44.84609488568784
system_46d42c71-aca7-484e-b7a1-4e816f9ef789,10,10,5,5,5,ws,18167,78.08000000000001
