names,objective1,objective2
system_0fdd2de8-8e92-45bb-b932-2723012d28d7.cfg,477.99835937897825,1.63818458758255
system_1749b570-a2c7-4b12-93e3-21a60438e4f9.cfg,694.1364605815425,1.673015123417798
system_7b654507-f243-426d-bd30-7d3cba5ff7b6.cfg,399.68301861655016,1.647789619458894
system_04614c5b-598c-4781-830a-56a4e83137cc.cfg,477.99835937897825,1.63818458758255
system_11312ccd-584a-4404-908a-f89e19261a67.cfg,694.1364605815425,1.673015123417798
system_cdf12fd5-fab8-487a-96c1-57cab905f93c.cfg,399.68301861655016,1.647789619458894
system_3313c4c4-27e3-4d0c-aa05-74a0d9285cb5.cfg,477.99835937897825,1.63818458758255
system_f50159c3-2b9c-44b0-b445-8b295d61bf23.cfg,694.1364605815425,1.673015123417798
system_c690325b-5ed5-4261-97a8-d6f26928f7b9.cfg,399.68301861655016,1.647789619458894
system_1aebcb00-ff18-48c2-b90f-9fc10d94b227.cfg,477.99835937897825,1.63818458758255
system_36adad55-32ce-421e-8948-b04e12e23919.cfg,694.1364605815425,1.529373465460046
system_7cf96f99-67e3-4423-9bb9-3521db51e5b0.cfg,399.68301861655016,1.504147961501142
system_d10c5687-6862-45fc-b403-44deecaf7861.cfg,477.99835937897825,1.494542929624798
system_85bb1cbc-e13a-4d42-ba13-732ba91e7ba9.cfg,694.1364605815425,1.529373465460046
system_98d99af2-7418-4a77-b09f-fef65877175f.cfg,399.68301861655016,1.504147961501142
system_eb4c3eef-1e70-4004-9e89-67eea4a6f83a.cfg,477.99835937897825,1.494542929624798
system_91ccf7b7-4466-4a04-8ee5-90f6da60aef3.cfg,694.1364605815425,1.529373465460046
system_a1aa70c2-ae29-4c7c-bb62-7be26bdefcb4.cfg,399.68301861655016,1.504147961501142
system_3e427804-db5a-41c2-838b-1469ee4d5355.cfg,477.99835937897825,1.494542929624798
system_da046c66-5e56-4b60-94fb-3f524080f0df.cfg,694.1364605815425,1.529373465460046
system_336ca533-d271-47a9-80fc-2e04503407fe.cfg,399.68301861655016,1.504147961501142
system_d45cb46b-003d-4cea-9ad4-f79db166e76f.cfg,477.99835937897825,1.494542929624798
system_9e183073-2a9e-4e7a-93d2-8bf48d7bba73.cfg,694.1364605815425,1.8498611856605105
system_bed312be-d735-4b60-ab48-59fb6c6f78b3.cfg,399.77754870753677,1.845314139104926
system_e467bd9b-8ebf-4e8f-8465-e562da083f83.cfg,477.99835937897825,1.8150306498252626
system_56114c9a-d169-45b0-a5db-1b3ec75b6694.cfg,694.1364605815425,1.8498611856605105
system_b9750214-f3aa-4f9d-b33f-c641bfa92081.cfg,399.77754870753677,1.845314139104926
system_92cfacd4-57ce-4de5-9039-7f7b2e840ad4.cfg,477.99835937897825,1.8150306498252626
system_0d2d37b1-92f9-475e-ae0a-16c1172e4b89.cfg,694.1364605815425,1.8498611856605105
system_b01e4fb0-29af-4d05-b213-0a1b6c94211c.cfg,399.77754870753677,1.845314139104926
system_44d6e581-6baa-4d65-9d05-73c9b865e464.cfg,477.99835937897825,1.8150306498252626
system_f0eacbad-f0d6-48d9-885e-d23e006776b9.cfg,694.1364605815425,1.8498611856605105
system_50e03520-ddfa-420b-933b-e7e8ee2fd85b.cfg,399.77754870753677,1.845314139104926
system_b47e6c1b-aecb-4231-8199-6611715bf236.cfg,477.99835937897825,1.8150306498252626
system_464086d5-ee64-43f2-9f0e-90f453c2b35a.cfg,694.1364605815425,1.673015123417798
system_6f66b067-33df-40cb-a903-e38c502171d0.cfg,399.77754870753677,1.6684680768622133
