ah,aw,ifs,fs,ofs,dfw,total_cycles,avg_mapping_eff
6,5,4,3,3,os,46011,41.977869986168955
5,8,3,1,4,os,34153,40.45538993878094
3,9,2,1,2,os,54193,43.2793499552379
5,3,1,4,1,is,208944,57.26574412852868
10,5,4,1,3,os,35716,37.64288401253914
5,4,4,3,1,ws,53679,92.8144499178982
7,7,3,4,4,os,51689,33.923391949029536
6,6,4,2,1,os,37710,40.37223649256826
7,7,3,4,3,ws,30994,75.05021056041463
6,4,3,3,3,os,52277,49.41678192715536
3,7,1,1,4,os,69341,44.1059079233352
5,8,4,2,4,ws,33461,78.71674876847291
9,4,3,2,4,is,74888,54.144620811287474
8,5,1,1,4,ws,41878,89.5
5,3,4,3,4,is,129305,57.26574412852868
8,6,3,2,1,is,60277,46.851659751037346
9,5,2,2,3,ws,30033,88.57848324514991
6,3,3,4,1,os,81696,40.48981438792386
7,10,1,4,4,is,251679,44.07962808948025
5,8,4,4,4,os,34091,40.45538993878094
7,4,2,4,1,ws,39233,92.08390022675738
3,10,1,2,3,os,54934,43.97786998616895
4,4,2,1,1,ws,68955,95.95238095238096
7,3,4,4,2,ws,60241,83.18468127991937
9,4,2,2,1,os,60000,46.22728318380493
6,3,3,2,3,os,81696,40.48981438792386
4,6,1,2,2,os,52788,45.039682539682275
9,6,4,3,4,is,52749,49.4020846902359
6,9,4,4,2,ws,28657,71.69888860894153
5,10,4,1,4,ws,38600,80.63054187192118
5,6,4,3,3,is,74941,47.55145841424279
5,7,2,4,1,os,47867,37.09714691306419
5,9,2,1,2,is,58589,44.27614764046542
6,3,3,2,4,ws,71109,82.60591808739953
4,9,1,2,3,os,41909,39.144620811287666
7,8,2,3,1,os,59715,37.27901120361805
6,10,3,4,2,ws,27847,79.22539682539683
5,4,2,3,1,is,124091,52.43349753694592
6,10,4,4,4,os,29919,33.977869986168926
5,6,1,2,3,ws,43031,83.32301196340605
7,7,3,1,1,os,51689,33.923391949029536
9,9,3,2,4,ws,19333,73.61943954536545
9,3,4,4,4,ws,47785,84.29551244366061
8,10,3,4,3,os,31707,31.35824012936265
5,8,2,2,4,os,35525,40.45538993878094
7,4,2,1,1,is,108923,52.97278911564638
9,3,1,2,4,os,112188,37.31862757627668
6,5,4,4,4,is,77390,49.291084156136044
7,4,4,4,1,is,82803,52.97278911564638
10,5,3,4,2,is,67817,48.328466329518264
7,10,3,3,2,is,46687,44.07962808948025
4,7,4,1,4,is,75890,47.48664313088785
9,6,2,2,4,is,63689,49.4020846902359
4,4,4,3,3,is,110441,54.28571428571429
6,3,4,4,2,is,118135,56.91690267623877
5,3,4,1,4,os,81687,42.341733126969274
5,8,2,2,1,os,35525,40.45538993878094
7,4,4,4,1,ws,39233,92.08390022675738
10,8,4,3,1,os,21549,34.98542319749216
5,8,2,2,3,is,107629,44.85583914108737
3,5,1,1,4,ws,80904,91.14702581369247
9,4,2,4,4,ws,31471,93.40388007054673
4,7,2,3,3,ws,49948,78.50340136054427
4,10,1,2,1,is,254528,44.842274966412944
7,3,4,4,3,os,62865,38.90709660367362
6,5,2,4,3,os,123121,41.977869986168955
7,6,3,1,1,is,60369,48.247701846990566
6,5,3,4,4,os,51583,41.977869986168955
6,4,4,3,2,os,45767,49.41678192715536
3,10,2,4,3,is,73269,45.46830759704331
4,10,2,3,2,os,58181,39.00000000000021
4,7,2,4,2,is,115739,47.48664313088785
5,7,3,4,1,ws,42808,75.81233872859491
8,8,1,4,1,os,47796,36.38530016170328
3,9,4,3,1,ws,50195,75.74474907808242
10,3,1,4,3,os,252418,36.43709895893818
6,10,2,4,3,ws,27847,79.22539682539683
5,9,2,4,3,ws,33446,73.04628109225811
6,9,4,3,2,ws,28657,71.69888860894153
4,6,3,1,2,is,82371,49.25903971547125
5,3,3,3,2,ws,82905,83.96801070364288
7,4,3,1,2,os,67431,47.72227361496557
3,8,2,2,4,is,120676,47.094227168902634
4,7,2,2,4,os,86524,39.761904761905086
5,3,3,2,2,os,81772,42.341733126969274
3,9,2,1,2,ws,54152,75.74474907808242
9,3,1,1,1,os,112188,37.31862757627668
5,4,4,1,3,ws,60870,92.8144499178982
5,3,3,4,1,os,81772,42.341733126969274
7,8,3,1,4,is,62628,45.6329697759713
6,6,1,4,2,is,180561,47.4460032053393
6,7,4,2,4,os,38255,35.375749193176745
9,3,4,3,3,os,52874,37.31862757627668
6,4,4,3,3,os,45767,49.41678192715536
10,4,2,4,4,ws,30965,89.86666666666667
4,7,1,3,3,is,252886,47.48664313088785
10,9,1,2,2,ws,18932,70.49453262786595
5,10,2,1,4,ws,38600,80.63054187192118
10,9,4,4,1,os,21519,31.42266894450797
3,3,1,2,1,is,203995,59.688012753941734
10,7,1,3,1,is,252269,44.84609488568784
10,4,3,3,1,ws,30965,89.86666666666667
8,6,1,2,1,ws,30559,84.04761904761907
8,7,4,1,4,ws,35256,76.66666666666666
3,7,2,1,2,is,89514,48.07661063596921
8,3,3,3,4,os,95056,37.951868737533445
10,4,1,2,2,ws,30965,89.86666666666667
7,7,4,2,4,is,55761,46.567676151999095
5,10,3,2,1,is,55748,43.255029108822136
9,7,2,4,3,os,45960,32.43419106773139
4,10,2,4,3,is,72822,44.842274966412944
6,9,4,4,4,is,51162,44.25182117935741
4,10,1,4,1,os,42377,39.00000000000021
7,4,4,1,3,os,40871,47.72227361496557
6,8,4,2,4,is,55493,44.80954840724413
9,8,2,1,4,os,33104,35.76432022084197
7,6,3,1,2,os,51876,38.806315550511876
10,3,4,3,4,ws,47187,81.26913580246917
10,8,2,3,3,ws,19033,76.1
6,9,3,3,2,is,51539,44.25182117935741
10,3,1,1,4,os,252418,36.43709895893818
3,10,1,3,4,is,255404,45.46830759704331
6,4,3,1,3,os,52277,49.41678192715536
8,8,2,4,1,os,37896,36.38530016170328
6,9,1,1,2,os,86021,34.96071385882352
6,8,2,1,2,ws,34342,77.32539682539684
3,8,2,4,1,os,53226,47.47233748271093
5,3,3,2,2,is,128296,57.26574412852868
5,6,2,3,4,is,76724,47.55145841424279
10,7,3,2,2,ws,24067,73.25714285714284
8,6,3,4,3,os,46193,37.863685316016664
5,9,2,2,1,ws,33446,73.04628109225811
9,5,3,2,3,os,35389,38.611456176673535
5,7,4,3,4,os,44468,37.09714691306419
7,6,3,2,3,ws,31295,82.53968253968254
6,6,1,3,4,ws,36923,81.97883597883599
9,7,1,4,3,ws,24462,76.01578903166204
4,7,2,3,1,is,115739,47.48664313088785
7,4,1,1,2,ws,42745,92.08390022675738
9,8,4,4,4,is,42271,46.77315934783481
9,5,4,2,1,is,60181,51.24031735704168
7,4,2,1,3,ws,42745,92.08390022675738
7,10,1,4,2,ws,23635,79.64625850340137
4,9,4,4,4,is,63766,45.88583259390712
6,8,4,2,3,ws,28713,77.32539682539684
3,10,1,4,3,is,255404,45.46830759704331
3,4,3,4,2,ws,78553,95.81369248035915
4,4,3,1,3,ws,68955,95.95238095238096
3,7,4,1,4,ws,65925,78.23526267970719
10,6,4,3,1,ws,24427,80.70476190476191
8,5,2,1,1,os,68006,39.260679153753095
8,6,3,3,2,is,60277,46.851659751037346
7,6,2,4,1,is,63535,48.247701846990566
6,7,2,2,1,is,106673,45.75185066317613
10,4,1,2,1,os,166772,45.22027168234065
4,6,2,2,4,ws,50103,86.19047619047618
10,4,4,4,4,ws,30965,89.86666666666667
4,10,4,3,3,is,60993,44.842274966412944
8,9,1,3,1,ws,23716,73.80070546737214
10,10,1,4,3,ws,18167,78.08000000000001
9,3,1,1,4,os,112188,37.31862757627668
8,8,4,3,3,ws,23011,79.375
8,8,1,3,2,os,47796,36.38530016170328
8,3,4,4,2,is,108242,56.851659751037346
6,10,1,2,3,ws,27847,79.22539682539683
9,10,4,1,4,os,22272,30.611456176673517
7,10,1,4,1,os,38614,32.394637534323124
6,4,1,1,4,is,239981,52.2063492063492
5,10,4,3,4,os,34929,35.964311951024975
10,9,3,2,1,is,42291,43.36011042097992
6,3,4,4,1,ws,71109,82.60591808739953
10,6,3,4,4,os,29343,36.36655222172475
8,9,3,2,1,is,45396,43.483436853002075
4,10,4,4,2,is,60993,44.842274966412944
6,4,4,3,1,is,92057,52.2063492063492
6,10,3,3,3,ws,27847,79.22539682539683
9,8,3,1,1,os,22287,35.76432022084197
10,9,4,3,4,ws,18902,70.49453262786595
6,3,2,4,1,ws,71109,82.60591808739953
6,5,2,4,3,is,117034,49.291084156136044
6,6,3,2,2,ws,36923,81.97883597883599
7,9,4,1,2,ws,30412,72.63290501385741
8,9,3,3,1,is,45396,43.483436853002075
3,9,4,1,4,ws,54152,75.74474907808242
7,9,4,1,1,os,26393,33.600491692205644
10,10,4,1,3,is,49981,42.376426332288325
4,7,2,4,3,os,86524,39.761904761905086
4,3,1,3,2,os,98344,45.21604938271575
4,9,3,1,1,os,41909,39.144620811287666
5,10,3,4,3,ws,32625,80.63054187192118
3,8,3,3,1,ws,50066,81.6470258136925
6,6,1,3,3,is,180561,47.4460032053393
7,5,2,2,4,os,115433,40.27305698721078
3,6,4,1,2,os,68007,49.65795077828307
6,4,4,4,1,ws,46267,91.49206349206348
10,3,3,3,1,os,62454,36.43709895893818
7,9,3,2,3,is,46589,45.075552926484576
6,10,3,3,1,is,51139,43.24442056028262
8,8,3,4,4,is,63644,44.08448153887616
7,5,2,3,3,is,110054,50.080112406953795
9,8,1,4,2,os,41714,35.76432022084197
4,10,1,1,3,is,254528,44.842274966412944
10,9,3,4,4,ws,18902,70.49453262786595
3,7,2,3,4,os,69341,44.1059079233352
5,3,3,3,1,os,81772,42.341733126969274
5,10,2,4,3,ws,32625,80.63054187192118
10,5,2,1,1,is,105032,48.328466329518264
8,5,2,2,1,ws,36257,89.5
8,6,1,2,2,os,66638,37.863685316016664
4,5,2,1,4,is,127977,51.21082930909925
8,9,1,1,1,is,163488,43.483436853002075
6,10,3,2,1,os,30435,33.977869986168926
4,8,4,2,3,ws,39175,81.78571428571429
4,5,4,2,4,os,64480,47.000000000000206
5,6,2,2,1,ws,43031,83.32301196340605
8,3,2,4,4,os,105480,37.951868737533445
5,6,1,4,3,ws,43031,83.32301196340605
9,8,3,4,4,ws,19446,79.43562610229276
6,9,3,3,1,ws,28657,71.69888860894153
5,5,4,3,2,os,53343,43.93969656640958
5,9,3,3,3,ws,33446,73.04628109225811
4,3,1,2,1,os,98344,45.21604938271575
3,10,2,2,3,is,73269,45.46830759704331
4,5,4,3,3,ws,60811,91.42857142857143
7,8,1,2,3,os,39062,37.27901120361805
4,3,4,4,2,os,98574,45.21604938271575
3,10,1,3,3,is,255404,45.46830759704331
10,4,2,3,3,is,108058,51.20000000000012
8,10,4,2,1,ws,22209,81.5
9,3,3,4,4,os,55059,37.31862757627668
7,8,3,4,4,os,36945,37.27901120361805
4,3,3,2,4,ws,96357,86.89594356261023
7,8,2,2,4,is,98115,45.6329697759713
3,10,2,4,3,os,54934,43.97786998616895
8,5,4,2,1,ws,36257,89.5
4,10,4,2,3,os,42474,39.00000000000021
10,4,2,3,2,os,66386,45.22027168234065
6,3,4,1,1,is,118135,56.91690267623877
3,3,1,3,3,ws,122421,86.68537224092783
5,8,1,1,2,os,36331,40.45538993878094
5,8,2,4,1,os,35525,40.45538993878094
6,3,2,1,4,is,142123,56.91690267623877
10,6,2,1,4,is,63883,46.508437067773166
6,3,3,1,2,os,81696,40.48981438792386
7,10,3,2,1,os,36585,32.394637534323124
8,7,4,4,2,ws,29461,76.66666666666666
4,9,3,3,2,os,41909,39.144620811287666
6,4,2,1,1,os,123838,49.41678192715536
8,10,4,1,1,ws,28783,81.5
4,4,4,4,4,ws,62081,95.95238095238096
7,9,2,4,3,is,49929,45.075552926484576
8,3,4,1,1,os,57016,37.951868737533445
9,7,1,4,1,is,252386,47.70967598332034
3,10,3,1,2,is,73587,45.46830759704331
3,10,3,2,3,is,73587,45.46830759704331
8,4,2,3,1,ws,37618,93.54166666666667
7,3,1,1,4,is,206111,57.64452724381605
4,9,4,1,4,os,42025,39.144620811287666
6,9,4,4,3,os,29726,34.96071385882352
10,10,1,2,2,os,92006,29.788338557993676
10,4,4,1,4,is,75763,51.20000000000012
5,9,4,2,3,is,57316,44.27614764046542
8,8,3,1,3,ws,29250,79.375
5,5,2,1,3,ws,56602,88.57536945812808
6,5,3,1,1,os,51583,41.977869986168955
10,10,1,4,4,ws,18167,78.08000000000001
3,9,3,2,2,is,76978,46.502878644585564
9,8,2,2,4,ws,19578,79.43562610229276
9,7,4,3,2,ws,24462,76.01578903166204
7,7,2,4,4,ws,30994,75.05021056041463
4,6,1,4,3,os,52788,45.039682539682275
9,4,1,4,3,os,74150,46.22728318380493
6,9,2,3,4,ws,28657,71.69888860894153
6,8,4,4,2,os,29301,38.72233748271093
7,4,1,4,2,ws,39233,92.08390022675738
5,8,4,2,1,os,34091,40.45538993878094
4,4,4,2,4,ws,62081,95.95238095238096
6,3,3,3,1,ws,71109,82.60591808739953
3,6,1,2,2,is,182857,49.83017511832632
3,7,1,2,1,ws,63736,78.23526267970719
5,10,1,3,2,os,37025,35.964311951024975
3,4,1,3,3,ws,78553,95.81369248035915
9,9,1,3,2,os,41644,32.151079075394634
8,9,3,3,3,ws,23005,73.80070546737214
4,10,2,1,2,os,58181,39.00000000000021
10,4,4,2,4,is,75763,51.20000000000012
7,10,3,4,2,is,46687,44.07962808948025
5,5,4,2,3,os,53343,43.93969656640958
9,6,1,1,1,os,57323,37.24024231270621
8,3,2,4,2,ws,57559,84.75308641975309
8,3,2,1,4,is,135100,56.851659751037346
6,5,4,2,4,ws,44863,87.22539682539681
7,3,3,4,3,os,104097,38.90709660367362
7,5,3,3,2,is,72139,50.080112406953795
8,8,2,3,4,is,99120,44.08448153887616
3,8,1,3,1,os,53226,47.47233748271093
5,5,3,2,1,ws,52352,88.57536945812808
5,3,3,1,4,ws,86124,83.96801070364288
7,4,3,4,1,os,67431,47.72227361496557
5,8,2,4,3,ws,33461,78.71674876847291
4,9,3,3,1,os,41909,39.144620811287666
8,3,3,4,4,os,95056,37.951868737533445
8,6,2,1,1,ws,35187,84.04761904761907
10,3,3,4,3,os,62454,36.43709895893818
3,6,1,3,3,is,182857,49.83017511832632
9,3,2,1,1,ws,50409,84.29551244366061
5,7,4,3,4,ws,42808,75.81233872859491
10,6,3,2,2,is,53571,46.508437067773166
4,6,4,2,1,os,52961,45.039682539682275
7,6,4,4,1,ws,31295,82.53968253968254
5,9,4,2,4,os,34625,36.60937659461297
10,6,2,4,1,os,50999,36.36655222172475
7,7,3,4,2,ws,30994,75.05021056041463
3,10,2,2,1,ws,49243,83.14702581369247
8,7,3,3,3,ws,29551,76.66666666666666
5,5,4,3,3,ws,52352,88.57536945812808
4,5,3,3,1,ws,60811,91.42857142857143
3,6,3,4,2,os,68007,49.65795077828307
5,6,3,4,3,is,74941,47.55145841424279
6,4,1,3,3,is,239981,52.2063492063492
3,6,3,4,4,ws,63799,86.00128266794937
7,5,3,4,4,is,72139,50.080112406953795
6,3,2,3,3,is,142123,56.91690267623877
7,10,3,1,1,ws,29952,79.64625850340137
8,4,1,2,3,is,246726,51.875
8,8,1,1,4,is,250457,44.08448153887616
6,6,1,3,1,is,180561,47.4460032053393
9,10,1,3,4,os,41336,30.611456176673517
7,3,3,4,1,is,105400,57.64452724381605
3,5,2,1,2,ws,80904,91.14702581369247
3,3,2,2,3,is,161859,59.688012753941734
9,10,2,3,2,is,53501,45.21145334018895
8,3,3,3,1,os,95056,37.951868737533445
4,7,3,2,3,ws,49948,78.50340136054427
9,8,4,3,1,ws,19446,79.43562610229276
3,8,4,2,2,is,82551,47.094227168902634
7,4,1,2,3,ws,39233,92.08390022675738
3,6,2,1,3,is,98951,49.83017511832632
3,4,4,2,2,is,129771,54.786756453423116
6,3,4,2,3,is,118135,56.91690267623877
4,7,3,1,4,ws,54715,78.50340136054427
7,6,4,4,3,ws,31295,82.53968253968254
9,9,1,1,2,ws,25717,73.61943954536545
7,8,1,4,2,ws,24517,78.31972789115646
8,8,1,3,2,ws,23807,79.375
10,4,3,3,2,ws,30965,89.86666666666667
6,8,1,3,1,os,86060,38.72233748271093
5,9,4,4,1,is,57316,44.27614764046542
5,3,4,4,2,is,129305,57.26574412852868
6,10,2,4,4,ws,27847,79.22539682539683
3,10,2,1,2,os,54934,43.97786998616895
5,8,4,3,1,ws,33461,78.71674876847291
6,7,2,4,2,os,94355,35.375749193176745
9,6,3,1,2,os,28732,37.24024231270621
5,8,2,3,3,is,107629,44.85583914108737
3,7,3,4,3,is,89621,48.07661063596921
5,5,4,4,4,ws,52352,88.57536945812808
3,4,3,4,3,is,129771,54.786756453423116
3,6,4,2,2,ws,63799,86.00128266794937
9,3,4,4,3,os,52874,37.31862757627668
3,7,2,2,4,os,69341,44.1059079233352
8,3,3,2,4,is,106606,56.851659751037346
7,9,3,3,4,ws,24438,72.63290501385741
9,7,2,4,4,os,45960,32.43419106773139
10,4,4,3,2,is,75763,51.20000000000012
3,6,4,3,3,is,97977,49.83017511832632
9,10,2,3,3,is,53501,45.21145334018895
10,6,1,4,4,os,129338,36.36655222172475
8,5,1,2,4,is,252189,48.80178333776948
6,10,1,3,4,os,85750,33.977869986168926
4,9,2,2,2,ws,39217,75.94356261022925
4,6,1,2,2,ws,50103,86.19047619047618
9,4,4,2,2,is,72167,54.144620811287474
7,9,4,4,3,os,26393,33.600491692205644
3,5,2,2,4,is,117646,51.754025870750276
8,9,3,2,1,os,32013,32.748132771602144
4,8,1,4,1,is,248825,46.48853639286195
4,4,4,3,2,os,63726,54.16666666666667
5,6,3,4,4,os,43796,42.200639652542506
4,5,4,4,3,ws,60811,91.42857142857143
10,7,4,4,1,ws,24067,73.25714285714284
7,6,4,4,4,ws,31295,82.53968253968254
5,6,2,2,4,ws,43031,83.32301196340605
5,8,2,1,1,ws,38999,78.71674876847291
3,9,3,1,4,is,76978,46.502878644585564
7,7,1,4,2,is,253038,46.567676151999095
5,7,2,2,1,os,47867,37.09714691306419
10,4,1,1,4,is,245244,51.20000000000012
5,4,1,4,3,os,55227,51.257954041345045
9,8,1,1,2,ws,25674,79.43562610229276
5,4,4,3,4,ws,53679,92.8144499178982
4,10,1,1,4,ws,43891,83.42857142857142
4,4,4,2,1,ws,62081,95.95238095238096
5,9,3,4,1,is,57623,44.27614764046542
5,10,1,2,3,ws,32625,80.63054187192118
3,9,1,3,3,ws,50195,75.74474907808242
8,5,3,2,4,is,76496,48.80178333776948
7,9,3,3,1,ws,24438,72.63290501385741
9,9,3,3,4,is,45453,46.21748502585862
10,10,1,2,2,ws,18414,78.08000000000001
9,6,3,3,3,is,52067,49.4020846902359
7,3,3,1,2,ws,62207,83.18468127991937
5,5,4,3,1,ws,52352,88.57536945812808
9,5,4,2,4,ws,29871,88.57848324514991
8,6,1,3,2,ws,30559,84.04761904761907
9,10,1,1,2,ws,25263,80.57848324514991
8,8,1,2,1,ws,23807,79.375
5,7,2,1,1,ws,47991,75.81233872859491
10,5,3,3,3,is,67817,48.328466329518264
10,10,4,3,4,os,21249,29.788338557993676
4,3,4,1,3,ws,101461,86.89594356261023
9,7,3,2,2,ws,24462,76.01578903166204
3,7,2,1,4,os,69341,44.1059079233352
7,6,2,4,4,ws,31295,82.53968253968254
5,8,2,4,3,os,35525,40.45538993878094
8,8,3,4,1,is,63644,44.08448153887616
7,6,3,3,3,is,60369,48.247701846990566
8,5,2,4,3,is,110679,48.80178333776948
4,3,1,1,2,os,98344,45.21604938271575
7,4,2,4,4,os,116169,47.72227361496557
10,3,2,2,1,ws,47187,81.26913580246917
3,8,4,1,3,is,82551,47.094227168902634
8,3,3,2,3,os,95056,37.951868737533445
6,9,2,4,1,is,52562,44.25182117935741
3,8,3,2,3,os,53226,47.47233748271093
7,10,4,2,4,ws,23635,79.64625850340137
9,6,3,2,2,os,28732,37.24024231270621
8,10,4,1,3,ws,28783,81.5
8,7,1,1,1,is,250787,45.08424738998285
4,9,3,4,3,os,41909,39.144620811287666
6,4,1,4,3,ws,46267,91.49206349206348
10,8,3,2,2,is,58664,43.91612990163044
5,9,3,4,2,is,57623,44.27614764046542
9,8,2,1,2,ws,25806,79.43562610229276
4,9,1,3,1,os,41909,39.144620811287666
5,8,3,4,2,is,72073,44.85583914108737
10,10,2,2,1,ws,18414,78.08000000000001
7,3,1,3,3,ws,60241,83.18468127991937
10,4,2,1,2,ws,35072,89.86666666666667
8,10,3,3,4,os,31707,31.35824012936265
10,7,2,1,2,os,50783,31.633915509777523
10,7,3,2,4,ws,24067,73.25714285714284
6,6,2,1,1,is,72656,47.4460032053393
8,4,1,4,4,ws,38418,93.54166666666667
5,5,3,3,2,is,86145,49.44564101689985
6,4,4,1,1,ws,49612,91.49206349206348
10,4,1,3,2,os,166772,45.22027168234065
5,3,2,4,3,os,95653,42.341733126969274
7,8,1,3,2,ws,24517,78.31972789115646
9,9,3,4,4,ws,19333,73.61943954536545
9,10,3,2,4,ws,18671,80.57848324514991
7,7,2,2,3,os,87443,33.923391949029536
8,7,3,2,2,ws,29551,76.66666666666666
9,5,2,2,3,is,97396,51.24031735704168
7,6,1,2,1,is,184398,48.247701846990566
7,10,1,2,4,is,251679,44.07962808948025
6,6,4,3,3,os,37710,40.37223649256826
9,3,4,2,1,is,99292,58.83183189776089
8,5,4,1,2,is,69586,48.80178333776948
9,6,4,2,4,ws,24797,83.668430335097
3,4,3,1,2,ws,84528,95.81369248035915
6,7,1,1,3,os,119672,35.375749193176745
7,6,1,2,3,os,53603,38.806315550511876
3,9,2,3,1,os,54193,43.2793499552379
4,3,1,3,4,is,206409,59.259039715471246
4,5,4,4,2,ws,60811,91.42857142857143
9,6,1,4,3,is,183804,49.4020846902359
5,10,4,3,3,ws,32625,80.63054187192118
10,5,3,3,3,os,36656,37.64288401253914
7,5,2,3,2,os,115433,40.27305698721078
8,6,4,3,1,ws,29761,84.04761904761907
9,3,2,2,1,os,92331,37.31862757627668
7,7,4,1,1,os,33994,33.923391949029536
3,4,4,2,2,ws,78553,95.81369248035915
6,9,3,3,2,ws,28657,71.69888860894153
3,8,1,3,2,os,53226,47.47233748271093
7,7,3,3,2,os,51689,33.923391949029536
7,8,1,3,1,ws,24517,78.31972789115646
8,10,1,2,4,ws,23003,81.5
8,10,2,4,2,ws,22178,81.5
7,10,3,4,4,ws,23635,79.64625850340137
5,3,3,3,3,is,128296,57.26574412852868
3,5,2,2,2,is,117646,51.754025870750276
8,7,1,2,1,ws,30258,76.66666666666666
9,6,1,3,3,os,57323,37.24024231270621
5,4,1,1,3,is,243548,52.43349753694592
5,8,3,4,3,os,34091,40.45538993878094
6,8,1,2,3,ws,28713,77.32539682539684
3,6,1,4,4,is,182857,49.83017511832632
9,4,2,2,4,ws,31471,93.40388007054673
6,6,3,4,1,is,67475,47.4460032053393
4,5,3,3,1,os,64288,47.000000000000206
7,7,3,3,2,ws,30994,75.05021056041463
6,5,4,1,2,os,46011,41.977869986168955
4,7,4,3,4,ws,49948,78.50340136054427
6,8,4,4,1,ws,28713,77.32539682539684
8,4,3,2,1,ws,37717,93.54166666666667
8,4,4,2,1,os,37204,46.784182275524415
8,3,3,3,2,os,95056,37.951868737533445
9,6,3,3,2,os,28732,37.24024231270621
10,7,1,1,1,os,129097,31.633915509777523
9,10,2,3,2,os,32684,30.611456176673517
8,9,3,2,2,ws,23005,73.80070546737214
7,4,4,1,3,is,82803,52.97278911564638
6,7,4,4,1,is,62216,45.75185066317613
5,3,4,3,1,is,129305,57.26574412852868
7,6,3,2,4,os,51876,38.806315550511876
7,8,2,2,3,is,98115,45.6329697759713
6,8,4,4,3,ws,28713,77.32539682539684
10,7,2,4,3,is,96878,44.84609488568784
9,4,3,2,1,ws,31299,93.40388007054673
10,3,2,4,2,is,124740,55.84177040110668
4,4,4,2,1,os,63726,54.16666666666667
4,6,2,3,2,is,83633,49.25903971547125
6,7,1,2,1,is,253406,45.75185066317613
3,8,4,1,2,is,82551,47.094227168902634
8,9,1,2,3,is,163488,43.483436853002075
6,10,4,3,4,os,29919,33.977869986168926
7,5,2,2,2,is,110054,50.080112406953795
6,8,2,4,3,ws,28713,77.32539682539684
10,9,1,4,2,is,165230,43.36011042097992
3,3,2,1,3,ws,122421,86.68537224092783
9,8,3,3,4,ws,19446,79.43562610229276
7,10,2,1,1,ws,29952,79.64625850340137
9,10,1,4,2,os,41336,30.611456176673517
4,8,4,2,3,is,68725,46.48853639286195
6,3,2,4,4,os,189044,40.48981438792386
8,9,4,3,2,is,45010,43.483436853002075
3,8,1,4,4,os,53226,47.47233748271093
9,9,4,1,2,ws,25717,73.61943954536545
5,5,2,4,2,is,122952,49.44564101689985
4,6,2,2,1,os,86663,45.039682539682275
8,3,4,4,4,ws,57559,84.75308641975309
6,10,3,1,3,os,30435,33.977869986168926
4,6,3,1,3,is,82371,49.25903971547125
4,7,1,2,3,os,53728,39.761904761905086
6,6,1,3,2,is,180561,47.4460032053393
7,10,2,1,2,is,60880,44.07962808948025
5,10,4,1,3,is,56241,43.255029108822136
7,3,3,4,3,is,105400,57.64452724381605
8,10,4,3,3,ws,22178,81.5
7,6,4,4,2,os,33562,38.806315550511876
6,6,2,4,3,os,94527,40.37223649256826
10,10,2,4,4,os,35838,29.788338557993676
5,9,2,2,3,os,35544,36.60937659461297
9,7,1,1,1,is,252386,47.70967598332034
3,10,3,1,3,ws,54013,83.14702581369247
4,3,1,3,3,ws,96357,86.89594356261023
9,5,2,2,1,os,59242,38.611456176673535
7,10,2,2,2,is,60880,44.07962808948025
5,9,2,4,2,os,35544,36.60937659461297
5,6,1,4,2,ws,43031,83.32301196340605
7,9,3,4,4,os,36882,33.600491692205644
3,4,1,3,2,ws,78553,95.81369248035915
4,6,3,2,2,ws,50103,86.19047619047618
8,7,1,1,1,os,66426,33.03281870624542
5,8,1,1,1,is,246892,44.85583914108737
7,8,3,2,2,ws,24517,78.31972789115646
6,5,1,2,4,ws,44863,87.22539682539681
7,7,1,3,2,is,253038,46.567676151999095
3,6,3,4,4,os,68007,49.65795077828307
7,9,4,3,1,ws,24438,72.63290501385741
3,7,2,4,4,ws,63736,78.23526267970719
6,5,2,4,1,ws,44863,87.22539682539681
7,10,1,2,3,is,251679,44.07962808948025
7,6,4,4,1,is,60369,48.247701846990566
9,5,3,3,1,is,62534,51.24031735704168
5,8,2,2,3,ws,33461,78.71674876847291
6,10,4,1,4,os,29919,33.977869986168926
10,10,2,4,1,ws,18167,78.08000000000001
3,8,2,2,1,os,53226,47.47233748271093
9,7,4,1,3,is,48230,47.70967598332034
8,7,4,2,1,os,30752,33.03281870624542
7,4,2,4,4,ws,39233,92.08390022675738
4,7,1,3,1,is,252886,47.48664313088785
9,9,4,3,4,ws,19333,73.61943954536545
10,8,1,3,1,os,92474,34.98542319749216
3,9,3,4,4,is,76978,46.502878644585564
4,6,3,2,3,os,52788,45.039682539682275
8,9,3,2,4,os,32013,32.748132771602144
6,7,3,4,3,ws,36646,74.50037792894936
7,9,1,2,2,is,165971,45.075552926484576
10,10,1,2,1,is,252076,42.376426332288325
4,6,4,4,1,is,82371,49.25903971547125
6,3,3,2,2,ws,71109,82.60591808739953
7,8,4,1,4,is,49443,45.6329697759713
7,9,4,4,1,is,45478,45.075552926484576
6,7,3,4,4,os,40557,35.375749193176745
10,6,3,2,4,os,29343,36.36655222172475
8,8,3,2,3,is,63644,44.08448153887616
10,5,3,3,4,ws,29524,85.76
3,9,3,2,4,is,76978,46.502878644585564
8,4,2,2,4,os,68756,46.784182275524415
6,3,2,1,4,ws,76287,82.60591808739953
3,4,3,2,1,ws,78553,95.81369248035915
8,7,4,1,3,os,30752,33.03281870624542
5,8,1,3,1,ws,33461,78.71674876847291
6,3,2,2,4,os,189044,40.48981438792386
4,5,3,4,3,is,93694,51.21082930909925
6,10,3,3,1,ws,27847,79.22539682539683
